Source,Target,Dialogues,Type,Time in Movie,Start Time Code,End Time Code,Time Duration
Joy,Me,"2
00:00:49,994 --> 00:00:51,675
Do you ever look at
someone and wonder.

3
00:00:51,700 --> 00:00:54,468
What is going on
inside their head?

4
00:00:54,493 --> 00:00:56,136
Well, I know.

5
00:00:56,161 --> 00:00:58,706
Well, I know Riley's head.

6
00:01:42,588 --> 00:01:45,343
And there she was.

7
00:01:46,551 --> 00:01:48,504
Hello.

8
00:01:49,455 --> 00:01:52,923
- Riley.
- Whoa. Look at you.

9
00:01:52,948 --> 00:01:55,876
Aren't you a little bundle of joy.

10
00:02:08,844 --> 00:02:11,190
<font color=""#efeb9a"">Whoa.</font>

11
00:02:28,253 --> 00:02:31,948
It was amazing.
Just Riley and me

12
00:02:31,973 --> 00:02:34,379
forever.

13
00:02:39,538 --> 00:02:40,779
Or for

14
00:02:40,804 --> 00:02:43,059
33 seconds.",Voice over,Present,0:00:49,,
Sadness,Joy,"15
00:02:44,012 --> 00:02:45,728
I'm Sadness.",Dialogue,Present,,,
Joy,Sadness,"16
00:02:45,753 --> 00:02:49,519
Oh, hello. I'm Joy. So.

17
00:02:49,703 --> 00:02:51,271
Can I just, if you could...

18
00:02:51,296 --> 00:02:53,591
I don't know, let me fix that.
Thanks.",Dialogue,Present,,,
Joy,Me,"19
00:02:53,616 --> 00:02:55,467
And that was just the beginning.

20
00:02:55,492 --> 00:02:58,554
Headquarters only got
more crowded from there.",Dialogue,Present,,,
Fear,Joy,"21
00:03:00,241 --> 00:03:02,704
Very nice. Okay.
Looks like you got this.

22
00:03:02,729 --> 00:03:04,019
Very good. Oh. Sharp! Sharp!

23
00:03:04,044 --> 00:03:05,050
NO, LOOK OUT!",Dialogue,Present,,,
Joy,Me,"24
00:03:05,075 --> 00:03:08,836
That's Fear.
He's really good at keeping Riley safe.",Dialogue,Present,,,
Fear,Riley,"25
00:03:08,867 --> 00:03:10,113
Easy. Easy.

26
00:03:10,138 --> 00:03:11,585
Fall back! Oh, we're good.",Dialogue,Present,,,
Joy,Fear,"28
00:03:12,680 --> 00:03:14,640
- Woo. Good job.",Dialogue,Present,,,
Fear,,"28
00:03:12,680 --> 00:03:14,640
- Woo. Good job.
- Thank you. Thank you very much.",Statement,Present,,,
Joy,,"29
00:03:14,927 --> 00:03:16,480
And. We're back.",Statement,Present,,,
Dad,Riley,"31
00:03:20,643 --> 00:03:22,435
Here we go, alright. Open.",Dialogue,Present,,,
Joy,,"32
00:03:22,460 --> 00:03:24,133
- Hm. This looks new.",Statement,Present,,,
Fear,,"32
00:03:22,460 --> 00:03:24,133
- Hm. This looks new.
- Think it's safe?",Statement,Present,,,
Sadness,,"33
00:03:24,158 --> 00:03:25,468
- What is it?",Statement,Present,,,
Dad,Riley,"33
00:03:24,158 --> 00:03:25,468
- What is it?
- Ah...",Dialogue,Present,,,
Disgust,,"34
00:03:25,493 --> 00:03:28,157
Okay, caution.
There is a dangerous smell people.

35
00:03:28,182 --> 00:03:29,255
Hold on. What is that?",Statement,Present,,,
Joy,Me,"36
00:03:29,280 --> 00:03:30,488
This is Disgust.

37
00:03:30,513 --> 00:03:34,230
She basically keeps Riley from being
poison, physically and socially.",Dialogue,Present,,,
Disgust,,"38
00:03:34,255 --> 00:03:35,763
That is not brightly colored.

39
00:03:35,788 --> 00:03:37,587
Or shaped like a dinosaur.
Hold on guys.

40
00:03:37,612 --> 00:03:39,102
It's broccoli! Blah!",Statement,Present,,,
Riley,,"41
00:03:39,127 --> 00:03:40,571
Yuck!",Statement,Present,,,
Disgust,,"42
00:03:41,907 --> 00:03:43,737
Well. I just saved our lives.

43
00:03:43,762 --> 00:03:44,815
Yeah. You're welcome.",Statement,Present,,,
Dad,Riley,"44
00:03:44,847 --> 00:03:47,656
Riley, if you don't eat your dinner,
you're not going to get any dessert.",Dialogue,Present,,,
Anger,,"45
00:03:47,681 --> 00:03:50,006
Wait. Did he just say
we couldn't have dessert?",Statement,Present,,,
Joy,Me,"46
00:03:50,031 --> 00:03:51,562
That's Anger. He...

47
00:03:51,587 --> 00:03:54,459
cares very deeply about
things being fair.",Dialogue,Present,,,
Anger,Dad,"48
00:03:54,484 --> 00:03:56,358
So, that's how you
want to play it, old man.

49
00:03:56,383 --> 00:03:59,440
No dessert? Oh, sure.
We'll eat our dinner.

50
00:03:59,485 --> 00:04:01,678
Right after you eat this!

51
00:04:01,703 --> 00:04:03,570
Arh!",Statement,Present,,,
Dad,Riley,"52
00:04:05,220 --> 00:04:08,300
Riley, Riley.
Here comes an airplane.",Dialogue,Present,,,
Fear,,"54
00:04:11,253 --> 00:04:13,083
- Oh.
- Oh.",Statement,Present,,,
Sadness,,"54
00:04:11,253 --> 00:04:13,083
- Oh.
- Oh.",Statement,Present,,,
Joy,,"54
00:04:11,253 --> 00:04:13,083
- Oh.
- Oh.",Statement,Present,,,
Disgust,,"54
00:04:11,253 --> 00:04:13,083
- Oh.
- Oh.",Statement,Present,,,
Joy,Me,"55
00:04:21,355 --> 00:04:23,071
And. you met Sadness.

56
00:04:23,096 --> 00:04:25,258
She. Well, she.

57
00:04:29,219 --> 00:04:31,049
I'm not actually
sure what she does.

58
00:04:31,074 --> 00:04:33,713
And I've checked,
There's no place for her to go. So.

59
00:04:33,758 --> 00:04:36,854
She's good. We're good.
It's all great.",Dialogue,Present,,,
Joy,Me,"60
00:04:36,879 --> 00:04:38,843
Anyway.
These are Riley's memories.

61
00:04:38,868 --> 00:04:41,920
And they are mostly happy if you notice,
not to brag.

62
00:04:46,738 --> 00:04:49,163
But the really important
ones are over here.

63
00:04:49,188 --> 00:04:51,332
I don't want to get too technical
but these are called

64
00:04:51,357 --> 00:04:53,011
core memories.

65
00:04:53,036 --> 00:04:56,587
Each one came from a super
important time in Riley's life.

66
00:04:56,612 --> 00:04:59,846
Like when she first scored a goal.
It was so amazing.    ",Dialogue,Present,,,
Dad,Riley,"67
00:04:59,871 --> 00:05:01,566
Hey-hey! Would you look at that.

68
00:05:01,591 --> 00:05:03,188
Very nice.",Dialogue,Past,,,
